Appendix C. Traffic Count Data Sheets




                                   Appendix C - 1
Appendix C - 2
AC Transit East Bay BRT - Traffic Count Sheet Listing

Intersection                                            Page
PERIOD"                                  7:00 AM TO 9:00 AM
INTERSECTION:                N/S         E. 14TH STREET
                             E/W         DAVIS STREET / CALLAN AVENUE
CITY:                                    OAKLAND

VEHICLE COUNTS
15 MIN COUNTS         1           2            3          4            5         6         7            8        9          10          11        12
PERIOD             SBRT        SBTH         SBLT       WBRT        WBTH       WBLT      NBRT         NBTH     NBLT        EBRT        EBTH      EBLT     TOTAL
700-715               9          54            4          8           76         7         4           55       42          24          43        10       336
715-730               6          59            5          4           88         5         6           69       53          22          53         6       376
730-745               7          77            6          6           91        13         7           76       65          26          65         9       448
745-800              10          85            5         12          109        14         5           85       61          37          75        11       509
800-815               5          77            6         10           94        15         6           90       74          30          61         9       477
815-830               9          57            9         14           96        10         6           95       61          35          59        11       462
830-845              10          64            7          9           84         6         4          105       69          28          62         7       455
845-900               8          68            5          6           69         5         9          100       57          39          66        12       444
HOUR TOTALS           1           2            3          4            5         6         7            8        9          10          11        12
PERIOD             SBRT        SBTH         SBLT       WBRT        WBTH       WBLT      NBRT         NBTH     NBLT        EBRT        EBTH      EBLT     TOTAL
700-800              32         275           20         30          364        39        22          285      221         109         236        36      1669
715-815              28         298           22         32          382        47        24          320      253         115         254        35      1810
730-830              31         296           26         42          390        52        24          346      261         128         260        40      1896
745-845              34         283           27         45          383        45        21          375      265         130         257        38      1903
800-900              32         266           27         39          343        36        25          390      261         132         248        39      1838

 AM PEAK HOUR:     745-845
                                                                                               45

                                           34          283         27                          383

                                                                                               45



                                                38

DAVIS STREET / CALLAN AVENUE                 257                              265      375           21

                                             130                                     E. 14TH STREET



PEDESTRIAN COUNTS                                                                    BICYCLE COUNTS
15 MIN COUNTS    NORTH       EAST        SOUTH       WEST        TOTAL               15 MIN COUNTS          NORTH       EAST        SOUTH    WEST       TOTAL
PERIOD           LEG         LEG         LEG         LEG                             PERIOD                 LEG         LEG         LEG      LEG
700-715                  0           0           3           0            3          700-715                        0           0         3         1            4
715-730                  0           6           4           1           11          715-730                        0           4         7         0           11
730-745                  2           4           5           9           20          730-745                        0          12        12         1           25
745-800                  2           3           9           8           22          745-800                        0           7        12         1           20
800-815                  1           7           4           5           17          800-815                        0           2         2         2            6
815-830                  0           3           2           4            9          815-830                        0           3         1         1            5
830-845                  3           2           8           3           16          830-845                        0           4         0         0            4
845-900                  1           9           8           4           22          845-900                        1          12         8         0           21
HOUR TOTALS      NORTH       EAST        SOUTH WEST     TOTAL                        HOUR TOTALS            NORTH       EAST        SOUTH WEST          TOTAL
PERIOD           LEG         LEG         LEG     LEG                                 PERIOD                 LEG         LEG         LEG     LEG
700-800                  4          13        21     18       56                     700-800                        0          23        34         3           60
715-815                  5          20        22     23       70                     715-815                        0          25        33         4           62
730-830                  5          17        20     26       68                     730-830                        0          24        27         5           56
745-845                  6          15        23     20       64                     745-845                        0          16        15         4           35
800-900                  5          21        22     16       64                     800-900                        1          21        11         3           36
                                                                                                                                     Appendix C - 316
WILTEC                                                                             Phone: (626) 564-1944      Fax: (626) 564-0969        info@wiltecusa.com
INTERSECTION CAR/PED/BIKE TRAFFIC COUNT RESULTS SUMMARY

CLIENT:                                  CAMBRIDGE SYSTEMATICS, INC.
PROJECT:                                 AC TRANSIT FEIS PROJECT
DATE:                                    TUESDAY, SEPTEMBER 15, 2009
PERIOD"                                  4:00 PM TO 6:00 PM
INTERSECTION:                N/S         E. 14TH STREET
                             E/W         DAVIS STREET / CALLAN AVENUE
CITY:                                    OAKLAND

VEHICLE COUNTS
15 MIN COUNTS         1           2            3          4         5      6         7            8        9          10         11           12
PERIOD             SBRT        SBTH         SBLT       WBRT     WBTH    WBLT      NBRT         NBTH     NBLT        EBRT       EBTH         EBLT      TOTAL
400-415               5         102           13         10        42     11        11           90       60          32        118           21        515
415-430              10         119           13          9        47      9        16          106       63          55        127           19        593
430-445               9         118           10         10        55      9        19          116       75          49        124           21        615
445-500              12         126           12         12        68      7        22          115       64          62        134           20        654
500-515              11         115           21         11        63      6        19          105       66          57        144           18        636
515-530              13         113           20          7        63      6        27          113       65          57        159           18        661
530-545               7         120           11         12        66      6        14          103       50          55        145           22        611
545-600              17         108           10         13        50      9        20           90       59          54        140           14        584
HOUR TOTALS           1           2            3          4         5      6         7            8        9          10         11           12
PERIOD             SBRT        SBTH         SBLT       WBRT     WBTH    WBLT      NBRT         NBTH     NBLT        EBRT       EBTH         EBLT      TOTAL
400-500              36         465           48         41       212     36        68          427      262         198        503           81       2377
415-515              42         478           56         42       233     31        76          442      268         223        529           78       2498
430-530              45         472           63         40       249     28        87          449      270         225        561           77       2566
445-545              43         474           64         42       260     25        82          436      245         231        582           78       2562
500-600              48         456           62         43       242     27        80          411      240         223        588           72       2492

 PM PEAK HOUR:     430-530
                                                                                         40

                                           45          472      63                       249

                                                                                         28



                                                77

DAVIS STREET / CALLAN AVENUE                 561                        270      449           87

                                             225                               E. 14TH STREET



PEDESTRIAN COUNTS                                                              BICYCLE COUNTS
15 MIN COUNTS    NORTH       EAST        SOUTH       WEST     TOTAL            15 MIN COUNTS          NORTH       EAST       SOUTH       WEST        TOTAL
PERIOD           LEG         LEG         LEG         LEG                       PERIOD                 LEG         LEG        LEG         LEG
400-415                  2           3         7      6       18               400-415                        1          0           0           0            1
415-430                  0          11        14      2       27               415-430                        0          0           0           2            2
430-445                  4           5         7     12       28               430-445                        1          1           2           1            5
445-500                  2           5         7      5       19               445-500                        0          2           2           3            7
500-515                  2          13        12      6       33               500-515                        0          1           1           5            7
515-530                  4           3         5      5       17               515-530                        0          2           2           1            5
530-545                  0           8        11      6       25               530-545                        0          0           0           3            3
545-600                  2           4        10     11       27               545-600                        3          3           3           1           10
HOUR TOTALS      NORTH       EAST        SOUTH WEST     TOTAL                  HOUR TOTALS            NORTH       EAST       SOUTH       WEST        TOTAL
PERIOD           LEG         LEG         LEG     LEG                           PERIOD                 LEG         LEG        LEG         LEG
400-500                 8           24        35     25       92               400-500                        2          3           4           6           15
415-515                 8           34        40     25     107                415-515                        1          4           5          11           21
430-530                12           26        31     28       97               430-530                        1          6           7          10           24
445-545                 8           29        35     22       94               445-545                        0          5           5          12           22
500-600                 8           28        38     28     102                500-600                        3          6           6          10           25
                                                                                                                              Appendix C - 317
WILTEC                                                                        Phone: (626) 564-1944     Fax: (626) 564-0969        info@wiltecusa.com
INTERSECTION CAR/PED/BIKE TRAFFIC COUNT RESULTS SUMMARY

CLIENT:                               CAMBRIDGE SYSTEMATICS, INC.
PROJECT:                              AC TRANSIT FEIS PROJECT
DATE:                                 TUESDAY, SEPTEMBER 15, 2009
PERIOD"                               7:00 AM TO 9:00 AM
INTERSECTION:                N/S      BANCROFT AVENUE
                             E/W      CALLAN AVENUE
CITY:                                 OAKLAND

VEHICLE COUNTS
15 MIN COUNTS         1           2         3          4        5      6        7           8        9          10         11           12
PERIOD             SBRT        SBTH      SBLT       WBRT     WBTH   WBLT     NBRT        NBTH     NBLT        EBRT       EBTH         EBLT      TOTAL
700-715              36          62         4          3        2      4        6          46       52          22          5           22        264
715-730              38          70         5          3        3      1        7          58       56          28          4           22        295
730-745              44          95         6          3        0      5        4          64       58          28          2           33        342
745-800              50          88         2          2        0      1        0          80       66          32          1           33        355
800-815              61          73         5          4        1      0        3          70       66          22          1           23        329
815-830              53          74         2          3        1      1        1          52       49          21          1           19        277
830-845              43          66         2          1        0      0        1          48       55          21          2           23        262
845-900              39          64         3          4        2      1        1          46       48          18          1           20        247
HOUR TOTALS           1           2         3          4        5      6        7           8        9          10         11           12
PERIOD             SBRT        SBTH      SBLT       WBRT     WBTH   WBLT     NBRT        NBTH     NBLT        EBRT       EBTH         EBLT      TOTAL
700-800             168         315        17         11        5     11       17         248      232         110         12          110       1256
715-815             193         326        18         12        4      7       14         272      246         110          8          111       1321
730-830             208         330        15         12        2      7        8         266      239         103          5          108       1303
745-845             207         301        11         10        2      2        5         250      236          96          5           98       1223
800-900             196         277        12         12        4      2        6         216      218          82          5           85       1115

 AM PEAK HOUR:     715-815
                                                                                    12

                                        193         326      18                     4

                                                                                    7



                                          111

CALLAN AVENUE                                 8                     246      272         14

                                          110                              BANCROFT AVENUE



PEDESTRIAN COUNTS                                                          BICYCLE COUNTS
15 MIN COUNTS    NORTH       EAST     SOUTH       WEST     TOTAL           15 MIN COUNTS        NORTH       EAST       SOUTH       WEST        TOTAL
PERIOD           LEG         LEG      LEG         LEG                      PERIOD               LEG         LEG        LEG         LEG
700-715                2      2      0      9       13                     700-715                      0          0           0          4            4
715-730               27     11      0     10       48                     715-730                      1          3           0          5            9
730-745               36     24      0      6       66                     730-745                      0          1           1          1            3
745-800               33     27      1      8       69                     745-800                      0          2           0          0            2
800-815               16     21      0      6       43                     800-815                      0          1           0          3            4
815-830                8     16      0      2       26                     815-830                      0          1           0          1            2
830-845               10      6      0      3       19                     830-845                      0          0           0          0            0
845-900                7      6      0      1       14                     845-900                      0          0           0          0            0
HOUR TOTALS      NORTH EAST     SOUTH WEST    TOTAL                        HOUR TOTALS          NORTH       EAST       SOUTH       WEST        TOTAL
PERIOD           LEG     LEG    LEG    LEG                                 PERIOD               LEG         LEG        LEG         LEG
700-800               98     64      1     33     196                      700-800                      1          6           1          10           18
715-815              112     83      1     30     226                      715-815                      1          7           1           9           18
730-830               93     88      1     22     204                      730-830                      0          5           1           5           11
745-845               67     70      1     19     157                      745-845                      0          4           0           4            8
800-900               41     49      0     12     102                      800-900                      0          2           0           4            6
                                                                                                                        Appendix C - 318
WILTEC                                                                                Phone: (626) 564-1944     Fax: (626) 564-0969         info@wiltecusa.com
INTERSECTION CAR/PED/BIKE TRAFFIC COUNT RESULTS SUMMARY

CLIENT:                               CAMBRIDGE SYSTEMATICS, INC.
PROJECT:                              AC TRANSIT FEIS PROJECT
DATE:                                 TUESDAY, SEPTEMBER 15, 2009
PERIOD"                               4:00 PM TO 6:00 PM
INTERSECTION:                N/S      BANCROFT AVENUE
                             E/W      CALLAN AVENUE
CITY:                                 OAKLAND

VEHICLE COUNTS
15 MIN COUNTS         1           2         3           4           5          6        7           8        9          10          11           12
PERIOD             SBRT        SBTH      SBLT        WBRT        WBTH       WBLT     NBRT        NBTH     NBLT        EBRT        EBTH         EBLT     TOTAL
400-415              35          65         5           5           3          3        4          89       27          42           4           44       326
415-430              40          76         3           4           2          2        5          95       36          39           3           42       347
430-445              48          80         5           5           6          3        7          95       30          34           4           48       365
445-500              42          79         6           3           3          4        6         101       40          40           5           59       388
500-515              53          84         7           4           2          1        4         100       50          56           1           71       433
515-530              42          83         2           3           4          5        0         100       36          68           5           65       413
530-545              51          89         4           4           5          2        4         107       27          55           7           51       406
545-600              43          70         6           1           0          3        2         116       26          50           5           76       398
HOUR TOTALS           1           2         3           4           5          6        7           8        9          10          11           12
PERIOD             SBRT        SBTH      SBLT        WBRT        WBTH       WBLT     NBRT        NBTH     NBLT        EBRT        EBTH         EBLT     TOTAL
400-500             165         300        19          17          14         12       22         380      133         155          16          193      1426
415-515             183         319        21          16          13         10       22         391      156         169          13          220      1533
430-530             185         326        20          15          15         13       17         396      156         198          15          243      1599
445-545             188         335        19          14          14         12       14         408      153         219          18          246      1640
500-600             189         326        19          12          11         11       10         423      139         229          18          263      1650

 PM PEAK HOUR:     500-600
                                                                                            12

                                        189          326         19                         11

                                                                                            11



                                          263

CALLAN AVENUE                                 18                            139      423         10

                                          229                                      BANCROFT AVENUE



PEDESTRIAN COUNTS                                                                  BICYCLE COUNTS
15 MIN COUNTS    NORTH       EAST     SOUTH        WEST        TOTAL               15 MIN COUNTS        NORTH       EAST        SOUTH       WEST       TOTAL
PERIOD           LEG         LEG      LEG          LEG                             PERIOD               LEG         LEG         LEG         LEG
400-415                2      2       0                    0            4          400-415                      0           0           0          0            0
415-430                2      0       2                    0            4          415-430                      0           0           0          0            0
430-445                2      0       1                    0            3          430-445                      2           0           1          0            3
445-500                4      0       2                    0            6          445-500                      2           2           0          1            5
500-515               10      3       1                    0           14          500-515                      1           0           0          0            1
515-530                8      4       4                    0           16          515-530                      3           6           1          0           10
530-545                4      3       5                    6           18          530-545                      3           4           0          1            8
545-600               10      2       5                    0           17          545-600                      8           0           0          0            8
HOUR TOTALS      NORTH EAST     SOUTH WEST                     TOTAL               HOUR TOTALS          NORTH       EAST        SOUTH       WEST       TOTAL
PERIOD           LEG     LEG    LEG     LEG                                        PERIOD               LEG         LEG         LEG         LEG
400-500               10      2       5                    0           17          400-500                     4            2           1          1            8
415-515               18      3       6                    0           27          415-515                     5            2           1          1            9
430-530               24      7       8                    0           39          430-530                     8            8           2          1           19
445-545               26     10      12                    6           54          445-545                     9           12           1          2           24
500-600               32     12      15                    6           65          500-600                    15           10           1          1           27
                                                                                                                                 Appendix C - 319
WILTEC                                                                          Phone: (626) 564-1944      Fax: (626) 564-0969        info@wiltecusa.com
INTERSECTION CAR/PED/BIKE TRAFFIC COUNT RESULTS SUMMARY

CLIENT:                               CAMBRIDGE SYSTEMATICS, INC.
PROJECT:                              AC TRANSIT FEIS PROJECT
DATE:                                 TUESDAY, SEPTEMBER 15, 2009
PERIOD"                               7:00 AM TO 9:00 AM
INTERSECTION:                N/S      E. 14TH STREET
                             E/W      ESTUDILLO AVENUE
CITY:                                 OAKLAND

VEHICLE COUNTS
15 MIN COUNTS         1           2         3           4        5      6         7            8        9          10         11           12
PERIOD             SBRT        SBTH      SBLT       WBRT      WBTH   WBLT      NBRT         NBTH     NBLT        EBRT       EBTH         EBLT     TOTAL
700-715               6          49        19          23        9     17         8           83        5           4          7            4       234
715-730               7          58        17          29        7     13        11           93        4           5         12            6       262
730-745               5          71        12          22       11     19        16           99        5           4         11            7       282
745-800               8          91        30          33       14     20        19          113        6           4         18            5       361
800-815               9          90        27          37        9     32        26          120        8           4         24            6       392
815-830               7          79        26          30       16     32        19          131        5           7         18            6       376
830-845               6          67        26          45       16     25        13          116        3           7         14            8       346
845-900              10          76        21          45       10     18        13          113        5           5         16           12       344
HOUR TOTALS           1           7         3           4        5      6         7            8        9          10         11           12
PERIOD             SBRT        SBTH      SBLT       WBRT      WBTH   WBLT      NBRT         NBTH     NBLT        EBRT       EBTH         EBLT     TOTAL
700-800              26         269        78         107       41     69        54          388       20          17         48           22      1139
715-815              29         310        86         121       41     84        72          425       23          17         65           24      1297
730-830              29         331        95         122       50    103        80          463       24          19         71           24      1411
745-845              30         327       109         145       55    109        77          480       22          22         74           25      1475
800-900              32         312       100         157       51    107        71          480       21          23         72           32      1458

 AM PEAK HOUR:     745-845
                                                                                      145

                                        30          327       109                     55

                                                                                      109



                                             25

ESTUDILLO AVENUE                             74                      22       480           77

                                             22                             E. 14TH STREET



PEDESTRIAN COUNTS                                                           BICYCLE COUNTS
15 MIN COUNTS    NORTH       EAST     SOUTH       WEST      TOTAL           15 MIN COUNTS          NORTH       EAST       SOUTH       WEST       TOTAL
PERIOD           LEG         LEG      LEG         LEG                       PERIOD                 LEG         LEG        LEG         LEG
700-715                4      0       3      3       10                     700-715                        1          0           1          0           2
715-730                8      0       2      2       12                     715-730                        0          1           0          0           1
730-745                8      4       5      2       19                     730-745                        1          3           0          0           4
745-800                4      2       2     11       19                     745-800                        0          1           0          1           2
800-815                9      6       1      0       16                     800-815                        1          0           0          0           1
815-830               10      1       0      4       15                     815-830                        1          0           0          0           1
830-845               12      0       0      1       13                     830-845                        0          1           0          0           1
845-900                9      7       0      3       19                     845-900                        0          0           1          1           2
HOUR TOTALS      NORTH EAST     SOUTH WEST     TOTAL                        HOUR TOTALS            NORTH       EAST       SOUTH       WEST       TOTAL
PERIOD           LEG     LEG    LEG     LEG                                 PERIOD                 LEG         LEG        LEG         LEG
700-800               24      6      12     18       60                     700-800                        2          5           1          1           9
715-815               29     12      10     15       66                     715-815                        2          5           0          1           8
730-830               31     13       8     17       69                     730-830                        3          4           0          1           8
745-845               35      9       3     16       63                     745-845                        2          2           0          1           5
800-900               40     14       1      8       63                     800-900                        2          1           1          1           5
                                                                                                                           Appendix C - 320
WILTEC                                                                          Phone: (626) 564-1944      Fax: (626) 564-0969        info@wiltecusa.com
INTERSECTION CAR/PED/BIKE TRAFFIC COUNT RESULTS SUMMARY

CLIENT:                               CAMBRIDGE SYSTEMATICS, INC.
PROJECT:                              AC TRANSIT FEIS PROJECT
DATE:                                 TUESDAY, SEPTEMBER 15, 2009
PERIOD"                               4:00 PM TO 6:00 PM
INTERSECTION:                N/S      E. 14TH STREET
                             E/W      ESTUDILLO AVENUE
CITY:                                 OAKLAND

VEHICLE COUNTS
15 MIN COUNTS         1           2         3           4        5      6         7            8        9          10         11           12
PERIOD             SBRT        SBTH      SBLT       WBRT      WBTH   WBLT      NBRT         NBTH     NBLT        EBRT       EBTH         EBLT     TOTAL
400-415              12          90        25          41       20     33        16          104        8           5         23           19       396
415-430              16         108        34          46       23     40        22          117       10           6         25           21       468
430-445              18         111        38          50       19     43        26          124       12           6         34           24       505
445-500              17         123        38          47       30     49        29          129       15           7         40           26       550
500-515              18         125        43          43       26     55        13          120       10           7         44           23       527
515-530              15         126        44          37       20     40        12          140       10           7         34           25       510
530-545              17         130        38          44       19     48        27          132        7           9         23           23       517
545-600              20         115        31          42       22     35        19          130        9           5         24           25       477
HOUR TOTALS           1           2         3           4        5      6         7            8        9          10         11           12
PERIOD             SBRT        SBTH      SBLT       WBRT      WBTH   WBLT      NBRT         NBTH     NBLT        EBRT       EBTH         EBLT     TOTAL
400-500              63         432       135         184       92    165        93          474       45          24        122           90      1919
415-515              69         467       153         186       98    187        90          490       47          26        143           94      2050
430-530              68         485       163         177       95    187        80          513       47          27        152           98      2092
445-545              67         504       163         171       95    192        81          521       42          30        141           97      2104
500-600              70         496       156         166       87    178        71          522       36          28        125           96      2031

 PM PEAK HOUR:     445-545
                                                                                      171

                                        67          504       163                     95

                                                                                      192



                                             97

ESTUDILLO AVENUE                          141                        42       521           81

                                             30                             E. 14TH STREET



PEDESTRIAN COUNTS                                                           BICYCLE COUNTS
15 MIN COUNTS    NORTH       EAST     SOUTH       WEST      TOTAL           15 MIN COUNTS          NORTH       EAST       SOUTH       WEST       TOTAL
PERIOD           LEG         LEG      LEG         LEG                       PERIOD                 LEG         LEG        LEG         LEG
400-415                0      0       0      0        0                     400-415                        0          0           0          0           0
415-430                5      6       0      8       19                     415-430                        1          0           0          0           1
430-445               12      5       2      6       25                     430-445                        1          2           1          0           4
445-500               23      4       0     10       37                     445-500                        1          1           1          1           4
500-515               22      4       3      5       34                     500-515                        1          3           0          1           5
515-530               12      4       2      2       20                     515-530                        1          0           0          1           2
530-545               13      6       6      8       33                     530-545                        0          0           1          2           3
545-600                9      2       2      3       16                     545-600                        2          2           0          0           4
HOUR TOTALS      NORTH EAST     SOUTH WEST     TOTAL                        HOUR TOTALS            NORTH       EAST       SOUTH       WEST       TOTAL
PERIOD           LEG     LEG    LEG     LEG                                 PERIOD                 LEG         LEG        LEG         LEG
400-500               40     15       2     24       81                     400-500                        3          3           2          1            9
415-515               62     19       5     29     115                      415-515                        4          6           2          2           14
430-530               69     17       7     23     116                      430-530                        4          6           2          3           15
445-545               70     18      11     25     124                      445-545                        3          4           2          5           14
500-600               56     16      13     18     103                      500-600                        4          5           1          4           14
                                                                                                                           Appendix C - 321
WILTEC                                                                          Phone: (626) 564-1944      Fax: (626) 564-0969         info@wiltecusa.com
INTERSECTION CAR/PED/BIKE TRAFFIC COUNT RESULTS SUMMARY

CLIENT:                               CAMBRIDGE SYSTEMATICS, INC.
PROJECT:                              AC TRANSIT FEIS PROJECT
DATE:                                 TUESDAY, SEPTEMBER 15, 2009
PERIOD"                               7:00 AM TO 9:00 AM
INTERSECTION:                N/S      BANCROFT AVENUE
                             E/W      ESTUDILLO AVENUE
CITY:                                 OAKLAND

VEHICLE COUNTS
15 MIN COUNTS         1           2         3           4         5      6        7            8        9          10          11           12
PERIOD             SBRT        SBTH      SBLT       WBRT      WBTH    WBLT     NBRT         NBTH     NBLT        EBRT        EBTH         EBLT      TOTAL
700-715               5          45        28          39        81     13       12           37        3           6          35           11        315
715-730               5          53        28          54        90     14       10           40        4           7          44           10        359
730-745               3          68        33          64       109     13       17           47        5           9          38           14        420
745-800               7          81        40          49       116     16       23           60       10          14          52           17        485
800-815               8          71        33          59       123     20       24           62        9          10          45           14        478
815-830               6          54        42          64       123     27       17           59        8          11          50           13        474
830-845               4          49        37          65       111     20       14           45        4           7          49           11        416
845-900               7          44        40          58       106     18       11           38        8           7          39           12        388
HOUR TOTALS           1           2         3           4         5      6        7            8        9          10          11           12
PERIOD             SBRT        SBTH      SBLT       WBRT      WBTH    WBLT     NBRT         NBTH     NBLT        EBRT        EBTH         EBLT      TOTAL
700-800              20         247       129         206       396     56       62          184       22          36         169           52       1579
715-815              23         273       134         226       438     63       74          209       28          40         179           55       1742
730-830              24         274       148         236       471     76       81          228       32          44         185           58       1857
745-845              25         255       152         237       473     83       78          226       31          42         196           55       1853
800-900              25         218       152         246       463     85       66          204       29          35         183           50       1756

 AM PEAK HOUR:     730-830
                                                                                      236

                                        24          274       148                     471

                                                                                      76



                                             58

ESTUDILLO AVENUE                          185                         32       228          81

                                             44                              BANCROFT AVENUE



PEDESTRIAN COUNTS                                                            BICYCLE COUNTS
15 MIN COUNTS    NORTH       EAST     SOUTH       WEST      TOTAL            15 MIN COUNTS         NORTH       EAST        SOUTH       WEST        TOTAL
PERIOD           LEG         LEG      LEG         LEG                        PERIOD                LEG         LEG         LEG         LEG
700-715                3      2       3      4       12                      700-715                       0          1            0          0             1
715-730                8      7       2      2       19                      715-730                       0          1            0          0             1
730-745               14     26       2      8       50                      730-745                       0          2            0          7             9
745-800               27     14       2     12       55                      745-800                       1          8            2          3            14
800-815               26     14       4     13       57                      800-815                       0          5            0          0             5
815-830               20     25      15      5       65                      815-830                       0          4            0          2             6
830-845               12     14       3      1       30                      830-845                       0          2            0          1             3
845-900                2     15       1      3       21                      845-900                       1          0            1          0             2
